raida-id,ip-address and port
r0,78.46.170.45:50000
r1,47.229.9.94:50001
r2,209.46.126.167:50002
r3,116.203.157.233:50003
r4,95.183.51.104:50004
r5,31.163.201.90:50005
r6,52.14.83.91:50006
r7,161.97.169.229:50007
r8,13.234.55.11:50008
r9,13.233.223.167:50009
r10,94.130.179.247:50010
r11,67.181.90.11:50011
r12,3.16.169.178:50012
r13,113.30.247.109:50013
r14,78.159.240.92:50014
r15,185.37.61.73:50015
r16,193.7.195.250:50016
r17,5.161.63.179:50017
r18,76.114.47.144:50018
r19,190.105.235.113:50019
r20,184.18.166.118:50020
r21,125.236.210.184:50021
r22,5.161.123.254:50022
r23,130.255.77.156:50023
r24,209.205.66.24:50024
